MONTH,YEAR,TEMP_mean,TEMP_median,TEMP_var,TEMP_min,TEMP_max,PRCP_mean,PRCP_median,PRCP_min,PRCP_max,PRCP_var
6,1962,70.4864079575944,71.8,78.79915359507841,60.33297983765384,81.50859947643978,0.015922560252864478,0.0,0.0,4.13,0.017539630869034758
7,1962,73.80246984126984,74.2,75.6947078495888,63.610344827586204,84.97552225538129,0.013730712711241735,0.0,0.0,2.83,0.012498985804139726
8,1962,74.16351222002424,74.6,76.99244009492047,63.36828582385274,86.00719208679004,0.013778045216195307,0.0,0.0,4.61,0.01702749784325545
9,1962,66.91753981834934,66.5,102.46063553204897,57.154155407631976,78.18568604191381,0.013761651131824234,0.0,0.0,6.02,0.014380930913891088
10,1962,59.39344230892024,59.3,132.00858215358406,50.01729270474,70.62913632298454,0.011264011036385583,0.0,0.0,5.79,0.015697789911029325
11,1962,47.282220619097586,46.9,113.78277103756986,38.98539849130863,57.4294777588243,0.011979738685854951,0.0,0.0,4.09,0.011854228166279585
12,1962,37.59435776603197,38.3,232.3976971148931,29.5129091835435,47.903805213844095,0.009482083414920697,0.0,0.0,3.11,0.007200231099702823
1,1963,31.019444621361696,32.4,342.19833079981396,22.52049175106695,42.08630242400924,0.009795431976166832,0.0,0.0,2.68,0.007197693771960547
2,1963,37.671438641009374,38.5,276.2305926221153,28.50410997532605,49.27915811814645,0.011930235149894126,0.0,0.0,4.45,0.011194267535354824
3,1963,48.16584607575662,48.6,192.82813863848935,38.48957354994288,59.727636755933496,0.012177121771217712,0.0,0.0,2.44,0.007246420212672578
4,1963,55.853083989501314,54.8,153.8750334702076,45.90989891033215,67.2662443379505,0.010737893927747887,0.0,0.0,2.56,0.007561653980458801
5,1963,63.698643960895616,63.2,111.54588752650187,53.35418691234934,75.17107802939508,0.01006231936416185,0.0,0.0,2.24,0.0063505425887127485
6,1963,70.92987816795882,71.9,90.81946037738922,60.7409890539484,82.07508470158977,0.01595405848856288,0.0,0.0,5.2,0.019272142290718167
7,1963,75.05833016837575,75.9,70.06941436664178,64.56693676014433,86.31583744777821,0.013516240375254448,0.0,0.0,3.58,0.016649583976800404
8,1963,73.59607582097122,73.9,72.46746003254384,63.45271170313987,84.89340687206797,0.011763813264304203,0.0,0.0,2.01,0.008675803164604283
9,1963,68.24072480771737,68.3,87.66934587967741,58.069363144514696,80.10596596466063,0.011720819353699452,0.0,0.0,6.85,0.01729645573781865
10,1963,62.14627737226277,62.9,86.63765070254412,50.88018155272012,75.11883570340274,0.005362787897034473,0.0,0.0,2.09,0.003850026448049395
11,1963,49.06106589656078,48.6,126.4034751749161,40.51342960288809,59.44394038865546,0.018031755252202537,0.0,0.0,5.91,0.02484094554456592
12,1963,33.11050722331827,34.0,247.87347856781062,25.138891363838862,42.9311047437122,0.009035262807717898,0.0,0.0,1.81,0.005182538775427576
1,1964,37.29307824318312,37.7,205.73120876053136,28.61925252653658,47.93589564110722,0.01463755542702911,0.0,0.0,4.29,0.013216985173855724
2,1964,37.20751685163751,36.8,162.67211018245771,28.14606114250698,48.030806979280264,0.011913729615991582,0.0,0.0,3.27,0.009233468987614181
3,1964,44.78998031621055,44.8,199.85429888836023,35.42225751127485,56.312035859613424,0.013435336610815692,0.0,0.0,3.43,0.012212198883648998
4,1964,55.10803212851406,54.8,154.94702397157835,45.45053989992099,66.53198313903708,0.014271914500051382,0.0,0.0,2.64,0.010275962642778328
5,1964,64.59125023932606,65.2,113.92407393463237,53.867632603561624,76.17073015062547,0.01080544380724129,0.0,0.0,3.23,0.009682889982346725
6,1964,70.70356603401852,72.0,105.08330332092149,60.30266649152765,81.93981347694734,0.01241185296324081,0.0,0.0,3.11,0.011702969815416428
7,1964,75.57124274692342,76.6,66.75516455036764,65.3381544544353,86.8589975768397,0.013962317475270844,0.0,0.0,4.92,0.014959538809778612
8,1964,72.64345113021331,73.3,87.71712359581795,62.67793630573248,84.05527807861374,0.014917464660282717,0.0,0.0,5.83,0.01958588565354954
9,1964,66.82534422557481,67.0,103.65420082200674,56.77225372543848,78.55715886618326,0.012395641093241937,0.0,0.0,4.53,0.017272956127948515
10,1964,56.86295656623808,57.0,102.76581743522915,45.99406795930121,69.67938593679892,0.007539946211042556,0.0,0.0,3.27,0.00855159341248027
11,1964,47.94362624991722,48.9,213.40792178983813,39.19309842363227,58.617154783991516,0.013225562488183022,0.0,0.0,3.43,0.012064757852690056
12,1964,38.742422495516266,39.0,288.4712429428757,31.31601204587685,47.85076982294073,0.014779188672884596,0.0,0.0,5.67,0.012880494617413096
1,1965,37.39753473168074,38.0,297.15699317287306,29.53709809264305,47.44240523588764,0.0071726916145446835,0.0,0.0,1.97,0.004282580119312945
2,1965,38.30617859290439,39.6,280.29635211002454,29.851680072164175,49.25853732017775,0.009538479423389909,0.0,0.0,3.03,0.008612541304884409
3,1965,42.10245756958587,41.8,237.09601405634967,33.99674134419552,52.204717558289715,0.008617338487023745,0.0,0.0,2.2,0.006291748296648714
4,1965,55.66357906663834,54.8,162.4704843281858,46.78699008498584,66.46967915574757,0.0085,0.0,0.0,1.89,0.006098048299392285
5,1965,64.95564317059791,66.6,107.71662041877923,54.99823093801426,76.08616882671605,0.0045762867647058825,0.0,0.0,1.77,0.0032071189155239697
6,1965,69.69844327551891,70.8,79.88236268626805,60.20234574921808,80.20390958203015,0.011761961485010918,0.0,0.0,4.96,0.01545196318709829
7,1965,74.31686705362078,75.0,66.87245475448958,64.47828069932969,85.08676755113322,0.009007734389737785,0.0,0.0,5.16,0.01341167449917743
8,1965,73.4108617594255,74.8,70.49275198157859,64.02021820190582,84.29308106615107,0.009663532904502722,0.0,0.0,3.07,0.009701628663091372
9,1965,66.55367552045944,67.3,134.70550196089846,57.95833153851676,77.01836206896553,0.011781591582388395,0.0,0.0,5.71,0.017120446367266274
10,1965,58.371410623298665,58.2,105.69628157136025,48.27765593350562,70.39317039106145,0.005568754807281429,0.0,0.0,3.5,0.006113345293739946
11,1965,49.78500822544882,50.4,170.81330455823016,41.87266809728183,59.50211015736767,0.007815975733063701,0.0,0.0,1.85,0.005667491665065646
12,1965,41.38912426445137,41.0,177.57330666172336,34.13087308730873,50.659077370644866,0.008287929589270746,0.0,0.0,2.13,0.005943060334222858
1,1966,33.17813801721744,34.1,308.66344134288653,25.950329792404357,42.30339006599514,0.011922464756707595,0.0,0.0,1.77,0.008861079149626366
